No,;Time;Source;Destination;Protocol;Length;Info;;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
35;2,582678;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;2,582678;2,582946;0,000268;;5,20E-05;0,000216;0,000164
36;2,582946;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;2,582946;2,583162;0,000216;;0,00014;7,60E-05;-6,40E-05
37;2,583162;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;2,583162;2,583238;7,60E-05;;-0,000359;0,000435;0,000794
38;2,583238;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=916 Ack=19469 Win=260 Len=0;;;;2,583238;2,583673;0,000435;;-0,001811;0,002246;0,004057
40;2,583673;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=916 Ack=22189 Win=260 Len=0;;;;2,583673;2,585919;0,002246;;0,002246;0;-0,002246
41;2,585919;74.125.200.190;192,168,43,157;TLSv1,2;2774;Application Data, Application Data;;;;2,585919;2,585919;0;;-0,000436;0,000436;0,000872
42;2,585919;74.125.200.190;192,168,43,157;TLSv1,2;1164;Application Data, Application Data;;;;2,585919;2,586355;0,000436;;-0,001047;0,001483;0,00253
43;2,586355;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=916 Ack=24909 Win=260 Len=0;;;;2,586355;2,587838;0,001483;;0,001473;1,00E-05;-0,001463
45;2,587838;192,168,43,157;114,4,169,236;TCP;66;50273  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;2,587838;2,587848;1,00E-05;;-0,044077;0,044087;0,088164
46;2,587848;192,168,43,157;114,4,169,236;TCP;66;50274  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;2,587848;2,631935;0,044087;;0,043414;0,000673;-0,042741
50;2,631935;114,4,169,236;192,168,43,157;TCP;66;443  >  50274 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM=1 WS=256;;;;2,631935;2,632608;0,000673;;0,000312;0,000361;4,90E-05
51;2,632608;192,168,43,157;114,4,169,236;TCP;54;50274  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0;;;;2,632608;2,632969;0,000361;;-3,40E-05;0,000395;0,000429
52;2,632969;114,4,169,236;192,168,43,157;TCP;66;443  >  50273 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM=1 WS=256;;;;2,632969;2,633364;0,000395;;-0,002125;0,00252;0,004645
53;2,633364;192,168,43,157;114,4,169,236;TCP;54;50273  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0;;;;2,633364;2,635884;0,00252;;-0,000436;0,002956;0,003392
54;2,635884;192,168,43,157;114,4,169,236;TLSv1,3;571;Client Hello;;;;2,635884;2,63884;0,002956;;-0,000619;0,003575;0,004194
55;2,63884;192,168,43,157;114,4,169,236;TLSv1,3;571;Client Hello;;;;2,63884;2,642415;0,003575;;-0,035744;0,039319;0,075063
57;2,642415;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=916 Ack=26019 Win=255 Len=0;;;;2,642415;2,681734;0,039319;;0,037397;0,001922;-0,035475
58;2,681734;114,4,169,236;192,168,43,157;TCP;54;443  >  50274 [ACK] Seq=1 Ack=518 Win=66816 Len=0;;;;2,681734;2,683656;0,001922;;0,001773;0,000149;-0,001624
59;2,683656;192,168,43,157;74.125.200.190;TLSv1,2;969;Application Data;;;;2,683656;2,683805;0,000149;;-7,00E-06;0,000156;0,000163
60;2,683805;192,168,43,157;74.125.200.190;TLSv1,2;85;Application Data;;;;2,683805;2,683961;0,000156;;0,000156;0;-0,000156
61;2,683961;114,4,169,236;192,168,43,157;TCP;54;443  >  50273 [ACK] Seq=1 Ack=518 Win=66816 Len=0;;;;2,683961;2,683961;0;;-0,000894;0,000894;0,001788
62;2,683961;114,4,169,236;192,168,43,157;TLSv1,3;1414;Server Hello, Change Cipher Spec;;;;2,683961;2,684855;0,000894;;0,000667;0,000227;-0,00044
63;2,684855;114,4,169,236;192,168,43,157;TCP;1414;443  >  50274 [ACK] Seq=1361 Ack=518 Win=66816 Len=1360 [TCP segment of a reassembled PDU];;;;2,684855;2,685082;0,000227;;-0,007964;0,008191;0,016155
64;2,685082;192,168,43,157;114,4,169,236;TCP;54;50274  >  443 [ACK] Seq=518 Ack=2721 Win=66560 Len=0;;;;2,685082;2,693273;0,008191;;0,006791;0,0014;-0,005391
65;2,693273;192,168,43,157;114,4,169,236;TCP;66;50275  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;2,693273;2,694673;0,0014;;0,000229;0,001171;0,000942
66;2,694673;114,4,169,236;192,168,43,157;TLSv1,3;639;Application Data;;;;2,694673;2,695844;0,001171;;0,000654;0,000517;-0,000137
67;2,695844;114,4,169,236;192,168,43,157;TLSv1,3;1414;Server Hello, Change Cipher Spec;;;;2,695844;2,696361;0,000517;;0,000517;0;-0,000517
68;2,696361;114,4,169,236;192,168,43,157;TCP;1414;443  >  50273 [ACK] Seq=1361 Ack=518 Win=66816 Len=1360 [TCP segment of a reassembled PDU];;;;2,696361;2,696361;0;;-0,000274;0,000274;0,000548
69;2,696361;114,4,169,236;192,168,43,157;TLSv1,3;639;Application Data;;;;2,696361;2,696635;0,000274;;-0,00235;0,002624;0,004974
70;2,696635;192,168,43,157;114,4,169,236;TCP;54;50273  >  443 [ACK] Seq=518 Ack=2721 Win=66560 Len=0;;;;2,696635;2,699259;0,002624;;0,002214;0,00041;-0,001804
71;2,699259;192,168,43,157;114,4,169,236;TLSv1,3;118;Change Cipher Spec, Application Data;;;;2,699259;2,699669;0,00041;;0,000367;4,30E-05;-0,000324
72;2,699669;192,168,43,157;114,4,169,236;TLSv1,3;403;Application Data;;;;2,699669;2,699712;4,30E-05;;-0,000963;0,001006;0,001969
73;2,699712;192,168,43,157;114,4,169,236;TCP;66;50276  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;2,699712;2,700718;0,001006;;0,000752;0,000254;-0,000498
74;2,700718;192,168,43,157;114,4,169,236;TLSv1,3;118;Change Cipher Spec, Application Data;;;;2,700718;2,700972;0,000254;;-0,016314;0,016568;0,032882
75;2,700972;192,168,43,157;114,4,169,236;TLSv1,3;409;Application Data;;;;2,700972;2,71754;0,016568;;0,004269;0,012299;0,00803
77;2,71754;192,168,43,157;172.217.194.156;TLSv1,2;373;Application Data;;;;2,71754;2,729839;0,012299;;0,011944;0,000355;-0,011589
78;2,729839;114,4,169,236;192,168,43,157;TCP;66;443  >  50275 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM=1 WS=256;;;;2,729839;2,730194;0,000355;;-0,004556;0,004911;0,009467
79;2,730194;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0;;;;2,730194;2,735105;0,004911;;0,003544;0,001367;-0,002177
80;2,735105;192,168,43,157;114,4,169,236;TLSv1,3;571;Client Hello;;;;2,735105;2,736472;0,001367;;-0,000132;0,001499;0,001631
81;2,736472;114,4,169,236;192,168,43,157;TCP;54;443  >  50274 [ACK] Seq=3306 Ack=582 Win=66816 Len=0;;;;2,736472;2,737971;0,001499;;0,001204;0,000295;-0,000909
82;2,737971;114,4,169,236;192,168,43,157;TCP;54;443  >  50274 [ACK] Seq=3306 Ack=931 Win=67840 Len=0;;;;2,737971;2,738266;0,000295;;0,000295;0;-0,000295
83;2,738266;114,4,169,236;192,168,43,157;TLSv1,3;695;Application Data, Application Data;;;;2,738266;2,738266;0;;-0,000278;0,000278;0,000556
84;2,738266;114,4,169,236;192,168,43,157;TCP;66;443  >  50276 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM=1 WS=256;;;;2,738266;2,738544;0,000278;;0,000122;0,000156;3,40E-05
85;2,738544;192,168,43,157;114,4,169,236;TCP;54;50276  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0;;;;2,738544;2,7387;0,000156;;-0,000355;0,000511;0,000866
86;2,7387;192,168,43,157;74,125,24,155;TLSv1,2;123;Application Data;;;;2,7387;2,739211;0,000511;;-0,002258;0,002769;0,005027
87;2,739211;192,168,43,157;114,4,169,236;TLSv1,3;1327;Application Data;;;;2,739211;2,74198;0,002769;;0,000402;0,002367;0,001965
88;2,74198;192,168,43,157;114,4,169,236;TLSv1,3;648;Client Hello;;;;2,74198;2,744347;0,002367;;0,002163;0,000204;-0,001959
90;2,744347;114,4,169,236;192,168,43,157;TCP;54;443  >  50273 [ACK] Seq=3306 Ack=582 Win=66816 Len=0;;;;2,744347;2,744551;0,000204;;-0,002192;0,002396;0,004588
91;2,744551;74.125.200.190;192,168,43,157;TCP;54;443  >  50173 [ACK] Seq=26019 Ack=1862 Win=817 Len=0;;;;2,744551;2,746947;0,002396;;0,00222;0,000176;-0,002044
92;2,746947;74.125.200.190;192,168,43,157;TLSv1,2;122;Application Data;;;;2,746947;2,747123;0,000176;;7,20E-05;0,000104;3,20E-05
93;2,747123;74.125.200.190;192,168,43,157;TLSv1,2;85;Application Data;;;;2,747123;2,747227;0,000104;;-1,00E-06;0,000105;0,000106
94;2,747227;74.125.200.190;192,168,43,157;TLSv1,2;93;Application Data;;;;2,747227;2,747332;0,000105;;-0,00017;0,000275;0,000445
95;2,747332;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=1862 Ack=26118 Win=255 Len=0;;;;2,747332;2,747607;0,000275;;-0,0007;0,000975;0,001675
96;2,747607;192,168,43,157;74.125.200.190;TLSv1,2;93;Application Data;;;;2,747607;2,748582;0,000975;;0,000975;0;-0,000975
97;2,748582;114,4,169,236;192,168,43,157;TCP;54;443  >  50273 [ACK] Seq=3306 Ack=937 Win=67840 Len=0;;;;2,748582;2,748582;0;;-0,026816;0,026816;0,053632
98;2,748582;114,4,169,236;192,168,43,157;TLSv1,3;695;Application Data, Application Data;;;;2,748582;2,775398;0,026816;;0,026575;0,000241;-0,026334
103;2,775398;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data;;;;2,775398;2,775639;0,000241;;0,000173;6,80E-05;-0,000105
104;2,775639;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=1901 Ack=27517 Win=260 Len=0;;;;2,775639;2,775707;6,80E-05;;-0,000216;0,000284;0,0005
105;2,775707;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data;;;;2,775707;2,775991;0,000284;;-0,001846;0,00213;0,003976
106;2,775991;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=1901 Ack=28877 Win=260 Len=0;;;;2,775991;2,778121;0,00213;;0,001794;0,000336;-0,001458
107;2,778121;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data;;;;2,778121;2,778457;0,000336;;-0,003031;0,003367;0,006398
109;2,778457;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=1901 Ack=30237 Win=260 Len=0;;;;2,778457;2,781824;0,003367;;0,003092;0,000275;-0,002817
110;2,781824;114,4,169,236;192,168,43,157;TCP;54;443  >  50275 [ACK] Seq=1 Ack=518 Win=66816 Len=0;;;;2,781824;2,782099;0,000275;;8,60E-05;0,000189;0,000103
111;2,782099;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data;;;;2,782099;2,782288;0,000189;;-0,001307;0,001496;0,002803
112;2,782288;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=1901 Ack=31597 Win=260 Len=0;;;;2,782288;2,783784;0,001496;;0,00081;0,000686;-0,000124
113;2,783784;114,4,169,236;192,168,43,157;TLSv1,3;1414;Server Hello, Change Cipher Spec;;;;2,783784;2,78447;0,000686;;0,000493;0,000193;-0,0003
114;2,78447;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=1361 Ack=518 Win=66816 Len=1360 [TCP segment of a reassembled PDU];;;;2,78447;2,784663;0,000193;;-0,001505;0,001698;0,003203
115;2,784663;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=518 Ack=2721 Win=66560 Len=0;;;;2,784663;2,786361;0,001698;;0,001118;0,00058;-0,000538
116;2,786361;114,4,169,236;192,168,43,157;TLSv1,3;639;Application Data;;;;2,786361;2,786941;0,00058;;0,000372;0,000208;-0,000164
117;2,786941;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data;;;;2,786941;2,787149;0,000208;;-0,001362;0,00157;0,002932
118;2,787149;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=1901 Ack=32957 Win=260 Len=0;;;;2,787149;2,788719;0,00157;;0,001369;0,000201;-0,001168
119;2,788719;192,168,43,157;114,4,169,236;TLSv1,3;118;Change Cipher Spec, Application Data;;;;2,788719;2,78892;0,000201;;0,000201;0;-0,000201
120;2,78892;192,168,43,157;114,4,169,236;TCP;1414;50275  >  443 [ACK] Seq=582 Ack=3306 Win=66048 Len=1360 [TCP segment of a reassembled PDU];;;;2,78892;2,78892;0;;-0,00054;0,00054;0,00108
121;2,78892;192,168,43,157;114,4,169,236;TLSv1,3;81;Application Data;;;;2,78892;2,78946;0,00054;;0,000279;0,000261;-1,80E-05
122;2,78946;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data;;;;2,78946;2,789721;0,000261;;-0,00136;0,001621;0,002981
123;2,789721;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=1901 Ack=34317 Win=260 Len=0;;;;2,789721;2,791342;0,001621;;0,001363;0,000258;-0,001105
124;2,791342;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data;;;;2,791342;2,7916;0,000258;;-0,001799;0,002057;0,003856
125;2,7916;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=1901 Ack=35677 Win=260 Len=0;;;;2,7916;2,793657;0,002057;;0,001788;0,000269;-0,001519
126;2,793657;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data;;;;2,793657;2,793926;0,000269;;0,000148;0,000121;-2,70E-05
127;2,793926;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=1901 Ack=37037 Win=260 Len=0;;;;2,793926;2,794047;0,000121;;-0,001845;0,001966;0,003811
128;2,794047;114,4,169,236;192,168,43,157;TCP;54;443  >  50274 [ACK] Seq=3947 Ack=2204 Win=70656 Len=0;;;;2,794047;2,796013;0,001966;;-0,005004;0,00697;0,011974
129;2,796013;192,168,43,157;114,4,169,236;TCP;54;50273  >  443 [ACK] Seq=937 Ack=3947 Win=65280 Len=0;;;;2,796013;2,802983;0,00697;;0,006629;0,000341;-0,006288
130;2,802983;114,4,169,236;192,168,43,157;TCP;54;443  >  50276 [ACK] Seq=1 Ack=595 Win=66816 Len=0;;;;2,802983;2,803324;0,000341;;-2,00E-06;0,000343;0,000345
131;2,803324;74.125.200.190;192,168,43,157;TLSv1,2;2774;Application Data, Application Data;;;;2,803324;2,803667;0,000343;;-0,002791;0,003134;0,005925
132;2,803667;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=1901 Ack=39757 Win=260 Len=0;;;;2,803667;2,806801;0,003134;;0,003134;0;-0,003134
133;2,806801;114,4,169,236;192,168,43,157;TLSv1,3;257;Server Hello, Change Cipher Spec, Application Data;;;;2,806801;2,806801;0;;0;0;0
134;2,806801;172.217.194.156;192,168,43,157;TLSv1,2;120;Application Data;;;;2,806801;2,806801;0;;0;0;0
135;2,806801;172.217.194.156;192,168,43,157;TLSv1,2;85;Application Data;;;;2,806801;2,806801;0;;-0,000457;0,000457;0,000914
136;2,806801;172.217.194.156;192,168,43,157;TLSv1,2;93;Application Data;;;;2,806801;2,807258;0,000457;;0,000446;1,10E-05;-0,000435
137;2,807258;192,168,43,157;172.217.194.156;TCP;54;50207  >  443 [ACK] Seq=320 Ack=98 Win=255 Len=0;;;;2,807258;2,807269;1,10E-05;;-0,000274;0,000285;0,000559
138;2,807269;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data;;;;2,807269;2,807554;0,000285;;-0,000198;0,000483;0,000681
139;2,807554;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=1901 Ack=41117 Win=260 Len=0;;;;2,807554;2,808037;0,000483;;-0,000577;0,00106;0,001637
140;2,808037;192,168,43,157;114,4,169,236;TLSv1,3;118;Change Cipher Spec, Application Data;;;;2,808037;2,809097;0,00106;;0,000839;0,000221;-0,000618
141;2,809097;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data;;;;2,809097;2,809318;0,000221;;0,000221;0;-0,000221
142;2,809318;74,125,24,155;192,168,43,157;TCP;54;443  >  50204 [ACK] Seq=1 Ack=70 Win=278 Len=0;;;;2,809318;2,809318;0;;0;0;0
143;2,809318;74,125,24,155;192,168,43,157;TLSv1,2;125;Application Data;;;;2,809318;2,809318;0;;-1,40E-05;1,40E-05;2,80E-05
144;2,809318;74,125,24,155;192,168,43,157;TLSv1,2;372;Application Data;;;;2,809318;2,809332;1,40E-05;;-0,000167;0,000181;0,000348
145;2,809332;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=1901 Ack=42477 Win=260 Len=0;;;;2,809332;2,809513;0,000181;;-0,000833;0,001014;0,001847
146;2,809513;192,168,43,157;74,125,24,155;TCP;54;50204  >  443 [ACK] Seq=70 Ack=390 Win=260 Len=0;;;;2,809513;2,810527;0,001014;;-0,002599;0,003613;0,006212
147;2,810527;192,168,43,157;172.217.194.156;TLSv1,2;93;Application Data;;;;2,810527;2,81414;0,003613;;0,003395;0,000218;-0,003177
148;2,81414;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data;;;;2,81414;2,814358;0,000218;;0,000104;0,000114;1,00E-05
149;2,814358;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;2,814358;2,814472;0,000114;;-7,80E-05;0,000192;0,00027
150;2,814472;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=1901 Ack=43837 Win=260 Len=0;;;;2,814472;2,814664;0,000192;;0,000192;0;-0,000192
151;2,814664;74,125,24,155;192,168,43,157;TLSv1,2;296;Application Data;;;;2,814664;2,814664;0;;-3,00E-05;3,00E-05;6,00E-05
152;2,814664;74,125,24,155;192,168,43,157;TLSv1,2;93;Application Data;;;;2,814664;2,814694;3,00E-05;;-0,000169;0,000199;0,000368
153;2,814694;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=1901 Ack=45197 Win=260 Len=0;;;;2,814694;2,814893;0,000199;;-9,60E-05;0,000295;0,000391
154;2,814893;192,168,43,157;74,125,24,155;TCP;54;50204  >  443 [ACK] Seq=70 Ack=671 Win=259 Len=0;;;;2,814893;2,815188;0,000295;;-0,00402;0,004315;0,008335
155;2,815188;192,168,43,157;74,125,24,155;TLSv1,2;93;Application Data;;;;2,815188;2,819503;0,004315;;0,003874;0,000441;-0,003433
156;2,819503;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;2,819503;2,819944;0,000441;;-0,003812;0,004253;0,008065
157;2,819944;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=1901 Ack=46557 Win=260 Len=0;;;;2,819944;2,824197;0,004253;;0,003958;0,000295;-0,003663
158;2,824197;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;2,824197;2,824492;0,000295;;0,000224;7,10E-05;-0,000153
159;2,824492;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;2,824492;2,824563;7,10E-05;;-0,000156;0,000227;0,000383
160;2,824563;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=1901 Ack=47917 Win=260 Len=0;;;;2,824563;2,82479;0,000227;;-0,010789;0,011016;0,021805
161;2,82479;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=1901 Ack=49277 Win=260 Len=0;;;;2,82479;2,835806;0,011016;;0,010601;0,000415;-0,010186
162;2,835806;192,168,43,157;74.125.200.190;TLSv1,2;1097;Application Data;;;;2,835806;2,836221;0,000415;;0,000199;0,000216;1,70E-05
163;2,836221;74.125.200.190;192,168,43,157;TLSv1,2;1414;Application Data [TCP segment of a reassembled PDU];;;;2,836221;2,836437;0,000216;;0,000216;0;-0,000216
164;2,836437;74.125.200.190;192,168,43,157;TLSv1,2;754;Application Data, Application Data, Application Data, Application Data;;;;2,836437;2,836437;0;;-0,000264;0,000264;0,000528
165;2,836437;74.125.200.190;192,168,43,157;TCP;54;443  >  50173 [ACK] Seq=51337 Ack=1901 Win=817 Len=0;;;;2,836437;2,836701;0,000264;;-4,30E-05;0,000307;0,00035
166;2,836701;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=2944 Ack=50637 Win=260 Len=0;;;;2,836701;2,837008;0,000307;;-0,000383;0,00069;0,001073
167;2,837008;192,168,43,157;74.125.200.190;TCP;54;50173  >  443 [ACK] Seq=2944 Ack=51337 Win=257 Len=0;;;;2,837008;2,837698;0,00069;;0,000458;0,000232;-0,000226
168;2,837698;114,4,169,236;192,168,43,157;TCP;54;443  >  50275 [ACK] Seq=3306 Ack=582 Win=66816 Len=0;;;;2,837698;2,83793;0,000232;;-0,004859;0,005091;0,00995
169;2,83793;114,4,169,236;192,168,43,157;TCP;54;443  >  50275 [ACK] Seq=3306 Ack=1969 Win=69632 Len=0;;;;2,83793;2,843021;0,005091;;-0,014501;0,019592;0,034093
170;2,843021;192,168,43,157;172,217,194,94;TCP;55;50163  >  80 [ACK] Seq=1 Ack=1 Win=257 Len=1;;;;2,843021;2,862613;0,019592;;0,013195;0,006397;-0,006798
171;2,862613;114,4,169,236;192,168,43,157;TLSv1,3;1414;Application Data;;;;2,862613;2,86901;0,006397;;0,006069;0,000328;-0,005741
172;2,86901;114,4,169,236;192,168,43,157;TCP;1414;443  >  50274 [ACK] Seq=5307 Ack=2204 Win=70656 Len=1360 [TCP segment of a reassembled PDU];;;;2,86901;2,869338;0,000328;;-1,90E-05;0,000347;0,000366
173;2,869338;192,168,43,157;114,4,169,236;TCP;54;50274  >  443 [ACK] Seq=2204 Ack=6667 Win=66560 Len=0;;;;2,869338;2,869685;0,000347;;4,00E-05;0,000307;0,000267
